panel,dataset,domain,recording_id,source_index,time_s,x_m,y_m,z_m,speed_mps,display_speed_mps
a,OxIOD,smartphone motion,handbag-1/imu1,366,1496760700.0343199,-1.309843889,2.32868159,0.782633548,0.08533240061415949,0.08533240061415949
a,OxIOD,smartphone motion,handbag-1/imu1,390,1496760700.27414,-1.303761908,2.319890322,0.786309752,0.02990131373674337,0.02990131373674337
a,OxIOD,smartphone motion,handbag-1/imu1,415,1496760700.52432,-1.302436216,2.322637238,0.791649298,0.006178834130354343,0.006178834130354343
a,OxIOD,smartphone motion,handbag-1/imu1,439,1496760700.76434,-1.297389012,2.324039156,0.797426658,0.07652205806356503,0.07652205806356503
a,OxIOD,smartphone motion,handbag-1/imu1,464,1496760701.0143402,-1.303748168,2.355567226,0.820497826,0.2508644465977462,0.2508644465977462
a,OxIOD,smartphone motion,handbag-1/imu1,488,1496760701.2542899,-1.315154827,2.411066955,0.846876454,0.18824834171551927,0.18824834171551927
a,OxIOD,smartphone motion,handbag-1/imu1,513,1496760701.50437,-1.323746917,2.431993024,0.844862792,0.12488397620243363,0.12488397620243363
a,OxIOD,smartphone motion,handbag-1/imu1,537,1496760701.7443001,-1.341818233,2.453193128,0.836877212,0.11944501896552355,0.11944501896552355
a,OxIOD,smartphone motion,handbag-1/imu1,562,1496760701.99405,-1.373777096,2.46518478,0.84085641,0.14324852350070064,0.14324852350070064
a,OxIOD,smartphone motion,handbag-1/imu1,586,1496760702.23421,-1.411341049,2.479265371,0.849980209,0.1836070380526161,0.1836070380526161
a,OxIOD,smartphone motion,handbag-1/imu1,610,1496760702.47423,-1.437389885,2.497854788,0.869234791,0.2324773946530857,0.2324773946530857
a,OxIOD,smartphone motion,handbag-1/imu1,635,1496760702.72437,-1.455485902,2.524371552,0.892690672,0.19796139719104258,0.19796139719104258
a,OxIOD,smartphone motion,handbag-1/imu1,659,1496760702.9644,-1.468237208,2.57181758,0.891025161,0.2456340015814131,0.2456340015814131
a,OxIOD,smartphone motion,handbag-1/imu1,684,1496760703.2144,-1.465147516,2.601080902,0.83033725,0.2420075939713644,0.2420075939713644
a,OxIOD,smartphone motion,handbag-1/imu1,708,1496760703.45441,-1.478652885,2.606315483,0.807507873,0.05208360056858931,0.05208360056858931
a,OxIOD,smartphone motion,handbag-1/imu1,733,1496760703.7043898,-1.479030855,2.592328195,0.801159595,0.08509583898751219,0.08509583898751219
a,OxIOD,smartphone motion,handbag-1/imu1,757,1496760703.9441202,-1.483815277,2.576872658,0.787735082,0.07198819683833953,0.07198819683833953
a,OxIOD,smartphone motion,handbag-1/imu1,781,1496760704.1842,-1.476568159,2.563388074,0.785955045,0.10288426298780083,0.10288426298780083
a,OxIOD,smartphone motion,handbag-1/imu1,806,1496760704.43445,-1.478373704,2.548547167,0.784178059,0.07859973462324367,0.07859973462324367
a,OxIOD,smartphone motion,handbag-1/imu1,830,1496760704.67439,-1.461826351,2.534333441,0.781799611,0.08468888475409614,0.08468888475409614
a,OxIOD,smartphone motion,handbag-1/imu1,855,1496760704.92442,-1.456919203,2.524454111,0.772452831,0.009626391162431075,0.009626391162431075
a,OxIOD,smartphone motion,handbag-1/imu1,879,1496760705.1644402,-1.469797061,2.528078523,0.779298073,0.14826551191464238,0.14826551191464238
a,OxIOD,smartphone motion,handbag-1/imu1,904,1496760705.41439,-1.430941422,2.503886883,0.779768893,0.15497404506028903,0.15497404506028903
a,OxIOD,smartphone motion,handbag-1/imu1,928,1496760705.65443,-1.414477037,2.47993104,0.77062605,0.10906423989280946,0.10906423989280946
a,OxIOD,smartphone motion,handbag-1/imu1,953,1496760705.9044101,-1.417910103,2.474863211,0.745782181,0.09728463116042214,0.09728463116042214
a,OxIOD,smartphone motion,handbag-1/imu1,977,1496760706.1443698,-1.415751894,2.481490234,0.733123155,0.05983775433730311,0.05983775433730311
a,OxIOD,smartphone motion,handbag-1/imu1,1001,1496760706.38428,-1.410550768,2.48717276,0.728777185,0.018433059394072204,0.018433059394072204
a,OxIOD,smartphone motion,handbag-1/imu1,1026,1496760706.63439,-1.402908455,2.481110326,0.7367908,0.0839527730067936,0.0839527730067936
a,OxIOD,smartphone motion,handbag-1/imu1,1050,1496760706.8743901,-1.405374219,2.467806759,0.724244151,0.18620441142528163,0.18620441142528163
a,OxIOD,smartphone motion,handbag-1/imu1,1075,1496760707.1244202,-1.409008802,2.471059532,0.714733505,0.0611590921876251,0.0611590921876251
a,OxIOD,smartphone motion,handbag-1/imu1,1099,1496760707.36446,-1.399960094,2.462678541,0.737011742,0.05838674439640212,0.05838674439640212
a,OxIOD,smartphone motion,handbag-1/imu1,1124,1496760707.61449,-1.39298369,2.460186147,0.741065211,0.2522640988782412,0.2522640988782412
a,OxIOD,smartphone motion,handbag-1/imu1,1148,1496760707.85444,-1.405506138,2.462931015,0.704344453,0.04602808600090588,0.04602808600090588
a,OxIOD,smartphone motion,handbag-1/imu1,1172,1496760708.0944698,-1.406657189,2.462697754,0.698998048,0.08742921660672172,0.08742921660672172
a,OxIOD,smartphone motion,handbag-1/imu1,1197,1496760708.34446,-1.409466491,2.461391918,0.687075961,0.03337403178563601,0.03337403178563601
a,OxIOD,smartphone motion,handbag-1/imu1,1221,1496760708.58443,-1.408319614,2.463306125,0.687736221,0.04490715610096174,0.04490715610096174
a,OxIOD,smartphone motion,handbag-1/imu1,1246,1496760708.8345,-1.403339202,2.459085477,0.70137119,0.009625592353549114,0.009625592353549114
a,OxIOD,smartphone motion,handbag-1/imu1,1270,1496760709.07455,-1.404324925,2.459204394,0.700363043,0.005891164905792859,0.005891164905792859
a,OxIOD,smartphone motion,handbag-1/imu1,1295,1496760709.32455,-1.405248556,2.459612004,0.699749516,0.012032196961602824,0.012032196961602824
a,OxIOD,smartphone motion,handbag-1/imu1,1319,1496760709.56453,-1.406106968,2.460048779,0.699962065,0.006154594803326977,0.006154594803326977
a,OxIOD,smartphone motion,handbag-1/imu1,1343,1496760709.80445,-1.389433572,2.451827024,0.72261859,0.16490303751527985,0.16490303751527985
a,OxIOD,smartphone motion,handbag-1/imu1,1368,1496760710.0545,-1.381297178,2.451390896,0.731912931,0.06279011355560797,0.06279011355560797
a,OxIOD,smartphone motion,handbag-1/imu1,1392,1496760710.29442,-1.380176048,2.453311252,0.734543918,0.005004087678415136,0.005004087678415136
a,OxIOD,smartphone motion,handbag-1/imu1,1417,1496760710.54432,-1.380986607,2.453319098,0.735071163,0.00699925570753713,0.00699925570753713
a,OxIOD,smartphone motion,handbag-1/imu1,1441,1496760710.7844899,-1.382872366,2.454201738,0.732135797,0.020029925168252853,0.020029925168252853
a,OxIOD,smartphone motion,handbag-1/imu1,1466,1496760711.0345101,-1.386387673,2.457515778,0.728838689,0.018851206717220716,0.018851206717220716
a,OxIOD,smartphone motion,handbag-1/imu1,1490,1496760711.2744498,-1.386748432,2.457171569,0.72977646,0.019318774811561246,0.019318774811561246
a,OxIOD,smartphone motion,handbag-1/imu1,1515,1496760711.52451,-1.385350193,2.456164108,0.727520941,0.027955145300533103,0.027955145300533103
a,OxIOD,smartphone motion,handbag-1/imu1,1539,1496760711.76447,-1.385552139,2.458894146,0.727281055,0.0111850769796466,0.0111850769796466
a,OxIOD,smartphone motion,handbag-1/imu1,1563,1496760712.00457,-1.386868769,2.460789869,0.721027314,0.01185607624581963,0.01185607624581963
a,OxIOD,smartphone motion,handbag-1/imu1,1588,1496760712.25456,-1.384610915,2.459390623,0.72483619,0.01736057914198652,0.01736057914198652
a,OxIOD,smartphone motion,handbag-1/imu1,1612,1496760712.4945102,-1.385929521,2.460326654,0.723061557,0.009450127900812448,0.009450127900812448
a,OxIOD,smartphone motion,handbag-1/imu1,1637,1496760712.74451,-1.382979402,2.461416777,0.724587466,0.012410235940941426,0.012410235940941426
a,OxIOD,smartphone motion,handbag-1/imu1,1661,1496760712.98452,-1.385235711,2.460527918,0.722650314,0.025088598677581158,0.025088598677581158
a,OxIOD,smartphone motion,handbag-1/imu1,1686,1496760713.23455,-1.387047872,2.460578246,0.71932025,0.01222476679870301,0.01222476679870301
a,OxIOD,smartphone motion,handbag-1/imu1,1710,1496760713.47454,-1.388872706,2.462409787,0.717242883,0.01731704104523562,0.01731704104523562
a,OxIOD,smartphone motion,handbag-1/imu1,1734,1496760713.71458,-1.387439025,2.46047154,0.718419985,0.006769614608964079,0.006769614608964079
a,OxIOD,smartphone motion,handbag-1/imu1,1759,1496760713.96457,-1.388227295,2.461474277,0.718103421,0.011402594653723182,0.011402594653723182
a,OxIOD,smartphone motion,handbag-1/imu1,1783,1496760714.20452,-1.387010822,2.460691172,0.718962865,0.010558171864714413,0.010558171864714413
a,OxIOD,smartphone motion,handbag-1/imu1,1808,1496760714.45458,-1.386369125,2.461341832,0.717827983,0.009316486997279381,0.009316486997279381
a,OxIOD,smartphone motion,handbag-1/imu1,1832,1496760714.69456,-1.39089177,2.463199588,0.712691747,0.026740501040911382,0.026740501040911382
a,OxIOD,smartphone motion,handbag-1/imu1,1857,1496760714.9445498,-1.389297769,2.461419588,0.715054695,0.009879169767615738,0.009879169767615738
a,OxIOD,smartphone motion,handbag-1/imu1,1881,1496760715.1846,-1.388555318,2.460160751,0.715017541,0.00474646339076093,0.00474646339076093
a,OxIOD,smartphone motion,handbag-1/imu1,1906,1496760715.4345899,-1.387172156,2.460003848,0.716989599,0.017181947572170588,0.017181947572170588
a,OxIOD,smartphone motion,handbag-1/imu1,1930,1496760715.67451,-1.383341769,2.457625953,0.725681677,0.08454776763451312,0.08454776763451312
a,OxIOD,smartphone motion,handbag-1/imu1,1954,1496760715.91464,-1.368978282,2.445875742,0.740193963,0.018885667152159058,0.018885667152159058
a,OxIOD,smartphone motion,handbag-1/imu1,1979,1496760716.1645,-1.375351549,2.453016837,0.733418724,0.07914859540323188,0.07914859540323188
a,OxIOD,smartphone motion,handbag-1/imu1,2003,1496760716.40465,-1.382145103,2.459910423,0.722040818,0.014051035356916462,0.014051035356916462
a,OxIOD,smartphone motion,handbag-1/imu1,2028,1496760716.6546502,-1.384137514,2.463351543,0.716248002,0.009450465056259886,0.009450465056259886
a,OxIOD,smartphone motion,handbag-1/imu1,2052,1496760716.8945699,-1.384295783,2.462612217,0.715531818,0.04745182265854256,0.04745182265854256
a,OxIOD,smartphone motion,handbag-1/imu1,2077,1496760717.14462,-1.381894681,2.460100073,0.721727067,0.020868238772986162,0.020868238772986162
a,OxIOD,smartphone motion,handbag-1/imu1,2101,1496760717.38462,-1.360250354,2.449728588,0.751319763,0.19394544496264526,0.19394544496264526
a,OxIOD,smartphone motion,handbag-1/imu1,2125,1496760717.6245801,-1.32843598,2.433127023,0.783594596,0.3526242605588638,0.3526242605588638
a,OxIOD,smartphone motion,handbag-1/imu1,2150,1496760717.8746,-1.301598891,2.386368391,0.814462439,0.3077786196129441,0.3077786196129441
a,OxIOD,smartphone motion,handbag-1/imu1,2174,1496760718.11467,-1.288842887,2.304318924,0.842880622,0.29922010219624345,0.29922010219624345
a,OxIOD,smartphone motion,handbag-1/imu1,2199,1496760718.36466,-1.285849701,2.272083355,0.865741271,0.220724482648452,0.220724482648452
a,OxIOD,smartphone motion,handbag-1/imu1,2223,1496760718.60463,-1.28990415,2.202952722,0.855716804,0.34427421931037555,0.34427421931037555
a,OxIOD,smartphone motion,handbag-1/imu1,2248,1496760718.85462,-1.296775553,2.107825685,0.82241313,0.44848865675618266,0.44848865675618266
a,OxIOD,smartphone motion,handbag-1/imu1,2272,1496760719.09464,-1.288683795,2.027931585,0.757040737,0.3376741040982225,0.3376741040982225
a,OxIOD,smartphone motion,handbag-1/imu1,2297,1496760719.34462,-1.247158754,2.006805928,0.730846999,0.27163583940235553,0.27163583940235553
a,OxIOD,smartphone motion,handbag-1/imu1,2321,1496760719.58462,-1.197487313,2.03397872,0.711066027,0.28274667183403596,0.28274667183403596
a,OxIOD,smartphone motion,handbag-1/imu1,2345,1496760719.82466,-1.124948689,2.069458053,0.688620424,0.3983006858423265,0.3983006858423265
a,OxIOD,smartphone motion,handbag-1/imu1,2370,1496760720.07467,-1.051462664,2.110030434,0.661565906,0.358578567547465,0.358578567547465
a,OxIOD,smartphone motion,handbag-1/imu1,2394,1496760720.31469,-0.985820612,2.125255094,0.645353984,0.2675731024727459,0.2675731024727459
a,OxIOD,smartphone motion,handbag-1/imu1,2419,1496760720.5646799,-0.933708546,2.135289063,0.646750703,0.21635702679663932,0.21635702679663932
a,OxIOD,smartphone motion,handbag-1/imu1,2443,1496760720.80462,-0.875044041,2.139854757,0.669175816,0.31740312088941874,0.31740312088941874
a,OxIOD,smartphone motion,handbag-1/imu1,2468,1496760721.0547001,-0.785098694,2.126527778,0.661693606,0.47657203278453264,0.47657203278453264
a,OxIOD,smartphone motion,handbag-1/imu1,2492,1496760721.29465,-0.672855558,2.108945673,0.640850081,0.41258415588645503,0.41258415588645503
a,OxIOD,smartphone motion,handbag-1/imu1,2516,1496760721.53471,-0.597787946,2.091502346,0.653758228,0.20327090949398138,0.20327090949398138
a,OxIOD,smartphone motion,handbag-1/imu1,2541,1496760721.78469,-0.551630662,2.082714567,0.654231762,0.21837690625721068,0.21837690625721068
a,OxIOD,smartphone motion,handbag-1/imu1,2565,1496760722.02471,-0.507535684,2.05359792,0.635136073,0.29937459737502525,0.29937459737502525
a,OxIOD,smartphone motion,handbag-1/imu1,2590,1496760722.27471,-0.426176907,2.003857938,0.655743337,0.42011541011635023,0.42011541011635023
a,OxIOD,smartphone motion,handbag-1/imu1,2614,1496760722.51477,-0.361580171,1.952037053,0.668703118,0.24818299970244614,0.24818299970244614
a,OxIOD,smartphone motion,handbag-1/imu1,2639,1496760722.76471,-0.344382524,1.934036592,0.65815241,0.08117369941046292,0.08117369941046292
a,OxIOD,smartphone motion,handbag-1/imu1,2663,1496760723.00471,-0.355575289,1.942611054,0.64080876,0.0713932203111783,0.0713932203111783
a,OxIOD,smartphone motion,handbag-1/imu1,2687,1496760723.24465,-0.354022351,1.950710243,0.637257695,0.03463059142429509,0.03463059142429509
a,OxIOD,smartphone motion,handbag-1/imu1,2712,1496760723.49473,-0.350137052,1.950571916,0.640140839,0.02360737285137419,0.02360737285137419
a,OxIOD,smartphone motion,handbag-1/imu1,2736,1496760723.7346802,-0.349021137,1.945820595,0.640485339,0.021554538122212814,0.021554538122212814
a,OxIOD,smartphone motion,handbag-1/imu1,2761,1496760723.9847198,-0.349859593,1.939712875,0.640016565,0.023290070242674762,0.023290070242674762
a,OxIOD,smartphone motion,handbag-1/imu1,2785,1496760724.22473,-0.352294441,1.936406703,0.640030484,0.007985132783935577,0.007985132783935577
a,OxIOD,smartphone motion,handbag-1/imu1,2810,1496760724.4746702,-0.350721151,1.938155596,0.641382567,0.015711096456977065,0.015711096456977065
a,OxIOD,smartphone motion,handbag-1/imu1,2834,1496760724.71474,-0.352181206,1.941207905,0.640477437,0.01772864309936098,0.01772864309936098
a,OxIOD,smartphone motion,handbag-1/imu1,2859,1496760724.96472,-0.353291529,1.9429297,0.639338372,0.007782909974900541,0.007782909974900541
a,OxIOD,smartphone motion,handbag-1/imu1,2883,1496760725.20476,-0.354426547,1.940374119,0.638653303,0.03435959525817982,0.03435959525817982
a,OxIOD,smartphone motion,handbag-1/imu1,2907,1496760725.44472,-0.360791881,1.935267235,0.634592226,0.036966023154713645,0.036966023154713645
a,OxIOD,smartphone motion,handbag-1/imu1,2932,1496760725.69475,-0.361178738,1.931012715,0.630586908,0.01805001919495123,0.01805001919495123
a,OxIOD,smartphone motion,handbag-1/imu1,2956,1496760725.9347699,-0.359849903,1.928937589,0.632491822,0.013034989180987087,0.013034989180987087
a,OxIOD,smartphone motion,handbag-1/imu1,2981,1496760726.18467,-0.369452893,1.926770238,0.627514165,0.06357148003549952,0.06357148003549952
a,OxIOD,smartphone motion,handbag-1/imu1,3005,1496760726.42477,-0.371749392,1.928147571,0.623038231,0.023882555419721625,0.023882555419721625
a,OxIOD,smartphone motion,handbag-1/imu1,3030,1496760726.6747699,-0.368251737,1.930204257,0.624482222,0.015838733061364157,0.015838733061364157
a,OxIOD,smartphone motion,handbag-1/imu1,3054,1496760726.91479,-0.365689138,1.930214249,0.620010097,0.007689283542780086,0.007689283542780086
a,OxIOD,smartphone motion,handbag-1/imu1,3078,1496760727.15479,-0.363049805,1.934870105,0.611014394,0.02975681817517111,0.02975681817517111
a,OxIOD,smartphone motion,handbag-1/imu1,3103,1496760727.4048,-0.35837327,1.938121226,0.618324402,0.026010996864412956,0.026010996864412956
a,OxIOD,smartphone motion,handbag-1/imu1,3127,1496760727.6447701,-0.36164031,1.940816714,0.619738184,0.010990254525375777,0.010990254525375777
a,OxIOD,smartphone motion,handbag-1/imu1,3152,1496760727.89477,-0.362025973,1.941029512,0.619959161,0.012020889003461231,0.012020889003461231
a,OxIOD,smartphone motion,handbag-1/imu1,3176,1496760728.13482,-0.363736666,1.939415032,0.620763326,0.007667293704713668,0.007667293704713668
a,OxIOD,smartphone motion,handbag-1/imu1,3201,1496760728.38479,-0.362561689,1.939097732,0.621577501,0.0028978242022521484,0.0028978242022521484
a,OxIOD,smartphone motion,handbag-1/imu1,3225,1496760728.6247401,-0.362968051,1.938306313,0.621184268,0.0022691228773425213,0.0022691228773425213
a,OxIOD,smartphone motion,handbag-1/imu1,3250,1496760728.8748002,-0.363279381,1.938508319,0.621088535,0.001596556011744207,0.001596556011744207
a,OxIOD,smartphone motion,handbag-1/imu1,3274,1496760729.11483,-0.363362459,1.937500742,0.621034978,0.01185491358970402,0.01185491358970402
a,OxIOD,smartphone motion,handbag-1/imu1,3298,1496760729.35484,-0.364026463,1.935769727,0.620960095,0.004502133542215021,0.004502133542215021
a,OxIOD,smartphone motion,handbag-1/imu1,3323,1496760729.6048498,-0.364639856,1.936071685,0.62104159,0.003016118315246865,0.003016118315246865
a,OxIOD,smartphone motion,handbag-1/imu1,3347,1496760729.84482,-0.365215408,1.935446497,0.621020205,0.006420597656014744,0.006420597656014744
a,OxIOD,smartphone motion,handbag-1/imu1,3372,1496760730.09501,-0.36511516,1.934755238,0.621046134,0.0027740557579630397,0.0027740557579630397
a,OxIOD,smartphone motion,handbag-1/imu1,3396,1496760730.33486,-0.365266952,1.934557554,0.621122192,0.0017464214749808298,0.0017464214749808298
a,OxIOD,smartphone motion,handbag-1/imu1,3421,1496760730.58476,-0.36546949,1.933834348,0.621318896,0.005350761731488663,0.005350761731488663
a,OxIOD,smartphone motion,handbag-1/imu1,3445,1496760730.8248398,-0.365323099,1.932502239,0.621822778,0.009220360269697879,0.009220360269697879
a,OxIOD,smartphone motion,handbag-1/imu1,3469,1496760731.0648699,-0.365231268,1.92973475,0.622423426,0.025814471587738842,0.025814471587738842
a,OxIOD,smartphone motion,handbag-1/imu1,3494,1496760731.31497,-0.348061092,1.92501446,0.625190552,0.12485045313114149,0.12485045313114149
a,OxIOD,smartphone motion,handbag-1/imu1,3518,1496760731.55481,-0.305902456,1.912358753,0.63191062,0.25628237972383217,0.25628237972383217
a,OxIOD,smartphone motion,handbag-1/imu1,3543,1496760731.8048499,-0.216611116,1.882147721,0.61994178,0.526750378574789,0.526750378574789
a,OxIOD,smartphone motion,handbag-1/imu1,3567,1496760732.04487,-0.08681042,1.809350286,0.623134512,0.7224350475196163,0.7224350475196163
a,OxIOD,smartphone motion,handbag-1/imu1,3592,1496760732.2948601,0.056736777,1.691400525,0.63520566,0.7612999323423533,0.7612999323423533
a,OxIOD,smartphone motion,handbag-1/imu1,3616,1496760732.53489,0.181354977,1.551952487,0.632904524,0.7919788951699813,0.7919788951699813
a,OxIOD,smartphone motion,handbag-1/imu1,3641,1496760732.7848902,0.28296766,1.389139131,0.653251825,0.7380680213273808,0.7380680213273808
a,OxIOD,smartphone motion,handbag-1/imu1,3665,1496760733.0248802,0.345395058,1.238797408,0.663213647,0.6595647630674565,0.6595647630674565
a,OxIOD,smartphone motion,handbag-1/imu1,3689,1496760733.26487,0.400976896,1.091967031,0.642507441,0.6721153238066645,0.6721153238066645
a,OxIOD,smartphone motion,handbag-1/imu1,3714,1496760733.51474,0.464120442,0.940633005,0.639746459,0.6452550230533503,0.6452550230533503
a,OxIOD,smartphone motion,handbag-1/imu1,3738,1496760733.7550101,0.511918451,0.803056292,0.645777479,0.5839174448370982,0.5839174448370982
a,OxIOD,smartphone motion,handbag-1/imu1,3763,1496760734.00494,0.523372804,0.661516399,0.648045731,0.564768505855491,0.564768505855491
a,OxIOD,smartphone motion,handbag-1/imu1,3787,1496760734.24491,0.481024148,0.5190204,0.638724739,0.6855423872861744,0.6855423872861744
a,OxIOD,smartphone motion,handbag-1/imu1,3812,1496760734.4946601,0.396693043,0.350865878,0.649554327,0.7836403599446707,0.7836403599446707
a,OxIOD,smartphone motion,handbag-1/imu1,3836,1496760734.73498,0.300607379,0.182625053,0.653670278,0.8323894541493143,0.8323894541493143
a,OxIOD,smartphone motion,handbag-1/imu1,3860,1496760734.97497,0.20684866,0.001600988,0.621108512,0.8707920309454825,0.8707920309454825
a,OxIOD,smartphone motion,handbag-1/imu1,3885,1496760735.22484,0.112193335,-0.187735695,0.630662524,0.8387008614725247,0.8387008614725247
a,OxIOD,smartphone motion,handbag-1/imu1,3909,1496760735.46487,0.023966813,-0.362870445,0.628894241,0.830530876869861,0.830530876869861
a,OxIOD,smartphone motion,handbag-1/imu1,3934,1496760735.71503,-0.076498083,-0.532857951,0.607479876,0.7762225514498508,0.7762225514498508
a,OxIOD,smartphone motion,handbag-1/imu1,3958,1496760735.9549599,-0.182658339,-0.682912807,0.637072948,0.7162405496514926,0.7162405496514926
a,OxIOD,smartphone motion,handbag-1/imu1,3983,1496760736.20489,-0.285055877,-0.829813276,0.630922859,0.7534571326953697,0.7534571326953697
a,OxIOD,smartphone motion,handbag-1/imu1,4007,1496760736.44494,-0.374647851,-1.004845616,0.583744771,0.880773003127682,0.880773003127682
a,OxIOD,smartphone motion,handbag-1/imu1,4031,1496760736.6849,-0.439929347,-1.19932508,0.630456938,0.8423046683144235,0.8423046683144235
a,OxIOD,smartphone motion,handbag-1/imu1,4056,1496760736.9349601,-0.495142178,-1.390828963,0.629323997,0.7628332935609712,0.7628332935609712
a,OxIOD,smartphone motion,handbag-1/imu1,4080,1496760737.17495,-0.542601703,-1.547349928,0.597974804,0.5694108933604617,0.5694108933604617
a,OxIOD,smartphone motion,handbag-1/imu1,4105,1496760737.4249501,-0.572040247,-1.657692572,0.626705061,0.3939758285274234,0.3939758285274234
a,OxIOD,smartphone motion,handbag-1/imu1,4129,1496760737.66501,-0.572360885,-1.744250051,0.601685824,0.4243608291211423,0.4243608291211423
a,OxIOD,smartphone motion,handbag-1/imu1,4154,1496760737.91501,-0.509478891,-1.842042846,0.601992805,0.5623528178974729,0.5623528178974729
a,OxIOD,smartphone motion,handbag-1/imu1,4178,1496760738.1549802,-0.403342215,-1.936139699,0.621866118,0.6260043245633578,0.6260043245633578
a,OxIOD,smartphone motion,handbag-1/imu1,4203,1496760738.405,-0.274981,-2.039684899,0.596940128,0.6947164887907434,0.6947164887907434
a,OxIOD,smartphone motion,handbag-1/imu1,4227,1496760738.64498,-0.149036174,-2.128765656,0.621791565,0.5997398539320161,0.5997398539320161
a,OxIOD,smartphone motion,handbag-1/imu1,4251,1496760738.8849401,-0.036812524,-2.189329586,0.629120382,0.546196442032052,0.546196442032052
a,OxIOD,smartphone motion,handbag-1/imu1,4276,1496760739.13499,0.104130517,-2.217304833,0.597487888,0.6302213721946096,0.6302213721946096
a,OxIOD,smartphone motion,handbag-1/imu1,4300,1496760739.37502,0.263378185,-2.20378619,0.631987618,0.6965236941947004,0.6965236941947004
a,OxIOD,smartphone motion,handbag-1/imu1,4325,1496760739.62495,0.434212468,-2.159222827,0.630371487,0.722959131306818,0.722959131306818
a,OxIOD,smartphone motion,handbag-1/imu1,4349,1496760739.86501,0.58619507,-2.104945059,0.618833298,0.6191042381026483,0.6191042381026483
a,OxIOD,smartphone motion,handbag-1/imu1,4374,1496760740.11517,0.703904616,-2.050621153,0.65269581,0.4377783373035321,0.4377783373035321
a,OxIOD,smartphone motion,handbag-1/imu1,4398,1496760740.3551202,0.789580074,-1.982625655,0.622890085,0.5698075507137265,0.5698075507137265
a,OxIOD,smartphone motion,handbag-1/imu1,4422,1496760740.59509,0.857403521,-1.854321532,0.625547669,0.7250156778754993,0.7250156778754993
a,OxIOD,smartphone motion,handbag-1/imu1,4447,1496760740.8450098,0.923903888,-1.666332531,0.649867794,0.8287796359713238,0.8287796359713238
a,OxIOD,smartphone motion,handbag-1/imu1,4471,1496760741.0850601,0.990436095,-1.476705751,0.630203599,0.8320591649782344,0.8320591649782344
a,OxIOD,smartphone motion,handbag-1/imu1,4496,1496760741.33507,1.049841633,-1.286205417,0.654293867,0.7873593759823109,0.7873593759823109
a,OxIOD,smartphone motion,handbag-1/imu1,4520,1496760741.57509,1.08687311,-1.115994111,0.654818405,0.7784248254430525,0.7784248254430525
a,OxIOD,smartphone motion,handbag-1/imu1,4545,1496760741.82505,1.101984621,-0.904463378,0.618976226,0.9140030830221089,0.9140030830221089
a,OxIOD,smartphone motion,handbag-1/imu1,4569,1496760742.06483,1.094457222,-0.671471255,0.653187532,1.0406726718979022,1.0406726718979022
a,OxIOD,smartphone motion,handbag-1/imu1,4594,1496760742.3151,1.087928802,-0.428317127,0.653706239,0.9411939915075425,0.9411939915075425
a,OxIOD,smartphone motion,handbag-1/imu1,4618,1496760742.55515,1.096246315,-0.218765942,0.64198729,0.8094723976570526,0.8094723976570526
